15, 8, 4, 1, 0, 0.996300,
15, 8, 5, 1, 0, 0.989300,
15, 8, 6, 1, 0, 0.996100,
15, 8, 7, 1, 0, 0.644500,
15, 8, 8, 1, 0, 0.522500,
15, 8, 9, 1, 0, 0.591900,
16, 8, 4, 1, 0, 0.996300,
16, 8, 5, 1, 0, 0.992900,
16, 8, 6, 1, 0, 0.988300,
16, 8, 7, 1, 0, 0.640100,
16, 8, 8, 1, 0, 0.528000,
16, 8, 9, 1, 0, 0.589000,
17, 8, 4, 1, 0, 0.996300,
17, 8, 5, 1, 0, 0.975100,
17, 8, 6, 1, 0, 0.985400,
17, 8, 7, 1, 0, 0.638600,
17, 8, 8, 1, 0, 0.522000,
17, 8, 9, 1, 0, 0.584200,
18, 8, 4, 1, 0, 0.996300,
18, 8, 5, 1, 0, 0.995700,
18, 8, 6, 1, 0, 0.976700,
18, 8, 7, 1, 0, 0.625000,
18, 8, 8, 1, 0, 0.510100,
18, 8, 9, 1, 0, 0.569900,
19, 8, 4, 1, 0, 0.994800,
19, 8, 5, 1, 0, 0.950300,
19, 8, 6, 1, 0, 0.995100,
19, 8, 7, 1, 0, 0.604100,
19, 8, 8, 1, 0, 0.499100,
19, 8, 9, 1, 0, 0.553800,
20, 8, 4, 1, 0, 0.994100,
20, 8, 5, 1, 0, 0.971400,
20, 8, 6, 1, 0, 0.924800,
20, 8, 7, 1, 0, 0.635900,
20, 8, 8, 1, 0, 0.455600,
20, 8, 9, 1, 0, 0.552000,
21, 8, 4, 1, 0, 0.993900,
21, 8, 5, 1, 0, 0.899800,
21, 8, 6, 1, 0, 0.980900,
21, 8, 7, 1, 0, 0.496800,
21, 8, 8, 1, 0, 0.464900,
21, 8, 9, 1, 0, 0.352300,
22, 8, 4, 1, 0, 0.990300,
22, 8, 5, 1, 0, 0.960500,
22, 8, 6, 1, 0, 0.953900,
22, 8, 7, 1, 0, 0.555800,
22, 8, 8, 1, 0, 0.340200,
22, 8, 9, 1, 0, 0.260500,
23, 8, 4, 1, 0, 0.979700,
23, 8, 5, 1, 0, 0.976200,
23, 8, 6, 1, 0, 0.977800,
23, 8, 7, 1, 0, 0.550100,
23, 8, 8, 1, 0, 0.364800,
23, 8, 9, 1, 0, 0.207000,
24, 8, 4, 1, 0, 0.993100,
24, 8, 5, 1, 0, 0.979500,
24, 8, 6, 1, 0, 0.974200,
24, 8, 7, 1, 0, 0.528800,
24, 8, 8, 1, 0, 0.304600,
24, 8, 9, 1, 0, 0.177700,
25, 8, 4, 1, 0, 0.987400,
25, 8, 5, 1, 0, 0.954900,
25, 8, 6, 1, 0, 0.949100,
25, 8, 7, 1, 0, 0.523300,
25, 8, 8, 1, 0, 0.301100,
25, 8, 9, 1, 0, 0.203300,
