e_size,associativity,e_block_size,hit_w_policy,miss_w_polich,miss_rate
20,26,6,1,0,0.4613
20,27,6,1,0,0.648
20,28,6,1,0,0.5379
20,29,6,1,0,0.5096
20,30,6,1,0,0.4937
20,31,6,1,0,0.4709
20,32,6,1,0,0.991
21,1,6,1,0,0.9953
21,2,6,1,0,0.9955
21,3,6,1,0,0.8041
21,4,6,1,0,0.9911
21,5,6,1,0,0.7
21,6,6,1,0,0.5326
21,7,6,1,0,0.8203
21,8,6,1,0,0.9875
21,9,6,1,0,0.5348
21,10,6,1,0,0.4632
21,11,6,1,0,0.4209
21,12,6,1,0,0.3895
21,13,6,1,0,0.3644
21,14,6,1,0,0.6275
21,15,6,1,0,0.5101
21,16,6,1,0,0.99
21,17,6,1,0,0.4521
21,18,6,1,0,0.4064
21,19,6,1,0,0.3869
21,20,6,1,0,0.3737
21,21,6,1,0,0.3668
21,22,6,1,0,0.353
21,23,6,1,0,0.3371
21,24,6,1,0,0.3272
21,25,6,1,0,0.3146
21,26,6,1,0,0.295
21,27,6,1,0,0.587
21,28,6,1,0,0.3754
21,29,6,1,0,0.3441
21,30,6,1,0,0.3098
21,31,6,1,0,0.2957
21,32,6,1,0,0.9821
22,1,6,1,0,0.9951
22,2,6,1,0,0.9944
22,3,6,1,0,0.9637
22,4,6,1,0,0.9907
22,5,6,1,0,0.7548
22,6,6,1,0,0.6675
22,7,6,1,0,0.5879
22,8,6,1,0,0.9683
22,9,6,1,0,0.5796
22,10,6,1,0,0.4851
22,11,6,1,0,0.4285
22,12,6,1,0,0.403
22,13,6,1,0,0.3809
22,14,6,1,0,0.3641
22,15,6,1,0,0.3263
22,16,6,1,0,0.9778
22,17,6,1,0,0.4872
22,18,6,1,0,0.4032
22,19,6,1,0,0.3605
22,20,6,1,0,0.3429
22,21,6,1,0,0.3123
22,22,6,1,0,0.3025
22,23,6,1,0,0.2866
22,24,6,1,0,0.2743
22,25,6,1,0,0.2667
22,26,6,1,0,0.2534
22,27,6,1,0,0.2386
22,28,6,1,0,0.2283
22,29,6,1,0,0.2245
22,30,6,1,0,0.2226
22,31,6,1,0,0.2192
22,32,6,1,0,0.8991
23,1,6,1,0,0.9939
23,2,6,1,0,0.9937
23,3,6,1,0,0.9386
23,4,6,1,0,0.981
23,5,6,1,0,0.9646
23,6,6,1,0,0.9209
23,7,6,1,0,0.857
23,8,6,1,0,0.8906
23,9,6,1,0,0.5966
23,10,6,1,0,0.5061
23,11,6,1,0,0.4794
23,12,6,1,0,0.4315
23,13,6,1,0,0.3879
23,14,6,1,0,0.3798
23,15,6,1,0,0.3787
23,16,6,1,0,0.8773
23,17,6,1,0,0.4697
23,18,6,1,0,0.3884
23,19,6,1,0,0.3582
23,20,6,1,0,0.3199
23,21,6,1,0,0.2965
23,22,6,1,0,0.2812
23,23,6,1,0,0.2778
23,24,6,1,0,0.2678
23,25,6,1,0,0.2503
23,26,6,1,0,0.2658
23,27,6,1,0,0.2527
23,28,6,1,0,0.2296
23,29,6,1,0,0.2305
23,30,6,1,0,0.2323
23,31,6,1,0,0.2233
23,32,6,1,0,0.7574
24,1,6,1,0,0.9912
24,2,6,1,0,0.9675
24,3,6,1,0,0.9304
24,4,6,1,0,0.9663
24,5,6,1,0,0.9549
24,6,6,1,0,0.8971
24,7,6,1,0,0.8925
24,8,6,1,0,0.8784
24,9,6,1,0,0.8325
24,10,6,1,0,0.8104
24,11,6,1,0,0.8214
24,12,6,1,0,0.8004
24,13,6,1,0,0.7396
24,14,6,1,0,0.6865
24,15,6,1,0,0.5867
24,16,6,1,0,0.7205
24,17,6,1,0,0.4345
24,18,6,1,0,0.3803
24,19,6,1,0,0.3381
24,20,6,1,0,0.3141
24,21,6,1,0,0.2896
24,22,6,1,0,0.2811
24,23,6,1,0,0.2608
24,24,6,1,0,0.2671
24,25,6,1,0,0.2537
24,26,6,1,0,0.25
24,27,6,1,0,0.2491
24,28,6,1,0,0.2353
24,29,6,1,0,0.2331
24,30,6,1,0,0.2389
24,31,6,1,0,0.2326
24,32,6,1,0,0.5902
25,1,6,1,0,0.9389
25,2,6,1,0,0.7548
25,3,6,1,0,0.3914
25,4,6,1,0,0.9003
25,5,6,1,0,0.8358
25,6,6,1,0,0.8324
25,7,6,1,0,0.7287
25,8,6,1,0,0.7924
25,9,6,1,0,0.8153
25,10,6,1,0,0.7842
25,11,6,1,0,0.7648
25,12,6,1,0,0.7366
25,13,6,1,0,0.7416
25,14,6,1,0,0.7165
25,15,6,1,0,0.6897
25,16,6,1,0,0.53
25,17,6,1,0,0.5908
25,18,6,1,0,0.5953
25,19,6,1,0,0.5803
25,20,6,1,0,0.5935
25,21,6,1,0,0.5831
25,22,6,1,0,0.5696
25,23,6,1,0,0.567
25,24,6,1,0,0.5388
25,25,6,1,0,0.5054
25,26,6,1,0,0.5256
25,27,6,1,0,0.4949
25,28,6,1,0,0.5005
25,29,6,1,0,0.4846
25,30,6,1,0,0.4207
25,31,6,1,0,0.3972
25,32,6,1,0,0.496
